name,lat,long
북촌로,37.579462,126.986431
종로수송,37.5714931,126.9807831
새문안로,37.5696597,126.9748903
안국,37.577338,126.985635
삼청동,37.585381,126.9817512
광화문D타워,37.5714,126.9788297
서울극장,37.56975769,126.9917911
적선,37.57520431,126.9739361
인사,37.5721293,126.98703490000002
영풍문고,37.5695584,126.9821243
광화문R,37.5712293,126.9762872
성대입구,37.582892,126.998392
스페이스본,37.57532212,126.9692494
주얼리시티,37.57154914,126.998705
종각,37.5699183,126.98452810000003
새종로,37.56965628,126.9864483
종로평창,37.605817,126.96672
광교,37.568928,126.9842163
동숭로아트,37.582969,127.003876
종로관철,37.569058,126.986013
경복궁역,37.5771508,126.97274530000004
이마빌딩,37.5738637,126.97897149999994
대명거리,37.58349633,127.0011593
마로니에공원,37.58154296,127.0023412
종로3가,37.5705527,126.9902055
대학로,37.576509,127.001449
종로2가,37.570631,126.987362
경복궁사거리,37.575578,126.980581
종로관수,37.569385,126.988665
숭례문북창,37.561725,126.976838
명동센트럴,37.564669,126.985233
국립중앙의료원,37.5665160,127.0062376
동국대,37.561542,126.998437
신세계본점5F,37.560951,126.981134
을지로내외빌딩R,37.566479,126.983663
대우재단빌딩,37.556781,126.975081
동대문공원,37.565133,127.007191
을지로국제빌딩,37.566952,126.982219
동대입구역,37.559593,127.006142
신당역사거리,37.565807,127.016430
연세세브란스,37.557207,126.973540
회현역,37.5589809,126.98074670000005
을지로경기빌딩,37.567172,126.983156
을지로2가,37.566347,126.988066
신세계본점6F,37.560381,126.980758
서울중앙우체국,37.561678,126.982117
한국프레스센터,37.567381,126.977859
명동중앙로,37.5637485,126.9857723
약수역,37.555437,127.0107253
중구저동,37.5643686,126.9903382
명동길,37.5620695,126.9858669
소공로북창,37.5636856,126.9789237
서소문로,37.563006,126.974546
신당역,37.565522,127.014554
명동메트로,37.565118,126.983681
숭례문,37.55874473,126.9730952
순화동더샵,37.560072,126.971931
대한극장,37.56105065,126.9952735
소공동,37.564448,126.979157
무교동,37.56781712,126.978738
문화일보,37.56712291,126.9686642
태평로,37.56248285,126.9767928
퍼시픽타워,37.56132157,126.9730264
남산단암,37.55853622,126.9754585
황학캐슬,37.57124,127.022905
서소문,37.5633773,126.97551290000001
명동미래,37.564064,126.984487
을지로삼화타워,37.566902,126.984707
소공로,37.5637273,126.98076809999998
서소문배재,37.5628481,126.97216639999999
을지로한국빌딩,37.565722,126.98329
순화동에이스,37.563528,126.969144
시청,37.566290,126.979808
시청플러스,37.566338,126.980055
충무로역,37.561499,126.993864
명동역,37.560832,126.983095
남산스테이트,37.560205,126.982791
명동입구,37.563319,126.982242
명일역,37.552580,127.143799
강동역,37.536047,127.133086
둔촌동,37.522724,127.133943
천호로데오,37.5378069,127.12730940000006
천호이마트,37.538933,127.125214
길동역,37.5387433,127.1399879
상일동,37.550072,127.174258
올림픽공원북문,37.525403,127.125932
천호역,37.53795191,127.1245793
명일이마트,37.553991,127.155984
길동사거리,37.5346536,127.13839510000002
신도림,37.505517,126.883953
구로디지털타워,37.483432,126.896480
오류동역,37.4962155,126.8448614
구로디지털로,37.485911,126.895587
신세계아이앤씨,37.48587904,126.8916127
구로에이스,37.48448329,126.8944957
구로하이엔드,37.481618,126.893136
현대디큐브2F,37.508636,126.889225
구로호텔,37.4831293,126.89885909999998
현대디큐브B2,37.508828,126.889488
답십리역,37.568466,127.051106
경희대삼거리,37.591531,127.052017
외대정문,37.595330,127.059239
신설동역,37.5767228,127.0255446
회기역사거리,37.590784,127.056098
외대,37.59575188,127.0614002
청량리역,37.57976852,127.0448267
장한평역,37.562337,127.065511
경희대,37.5928812,127.05280849999997
뚝섬역,37.546432,127.049042
황학사거리,37.567644,127.023697
성수역,37.543193,127.056943
상왕십리역,37.565169,127.027907
왕십리역,37.5627541,127.0339072
엔터식스한양대,37.5570379,127.04002
한양대,37.55726984,127.0421649
엔터식스,37.56175811,127.0383328
성수이마트,37.5396996,127.0530083
이태원역,37.534273,126.994789
한강진역R,37.537131,127.000980
용산역써밋R,37.527586,126.965401
이촌,37.518605,126.977271
신용산역,37.528702,126.966757
용산파크타워,37.523818,126.970389
남영동,37.542831,126.972242
한남동R,37.534850,127.010919
서울타워,37.551102,126.988317
서울역동자동,37.551752,126.972694
이태원거리,37.534988,126.99756
순천향입구,37.533394,127.00563
숙대,37.54460479,126.9672252
동빙고,37.5289857,126.991782
숙대입구역,37.544118,126.971891
용산아이파크몰,37.5288539,126.96404469999993
동부이촌동,37.52111,126.96905
상봉,37.597842,127.092509
중랑역,37.5930326,127.07473579999998
중랑구청,37.60538908,127.0957558
사가정역,37.579594,127.087966
상봉역,37.59689,127.08647
묵동이마트,37.613433,127.077484
